 0.1288   74    0 133 255
 0.1334   75    0 138 255
 0.1380   76    0 144 255
 0.1429   77    0 149 255
 0.1479   78    0 154 255
 0.1531   79    0 160 255
 0.1585   80    0 165 255
 0.1641   81    0 170 255
 0.1698   82    0 176 255
 0.1758   83    0 181 255
 0.1820   84    0 186 255
 0.1884   85    0 192 255
 0.1950   86    0 197 255
 0.2018   87    0 202 255
 0.2089   88    0 208 255
 0.2163   89    0 213 255
 0.2239   90    0 218 255
 0.2317   91    0 224 255
 0.2399   92    0 229 255
 0.2483   93    0 234 255
 0.2570   94    0 240 255
 0.2661   95    0 245 255
 0.2754   96    0 250 255
 0.2851   97    0 255 255
 0.2951   98    0 255 247
 0.3055   99    0 255 239
 0.3162  100    0 255 231
 0.3273  101    0 255 223
 0.3388  102    0 255 215
 0.3508  103    0 255 207
 0.3631  104    0 255 199
 0.3758  105    0 255 191
 0.3890  106    0 255 183
 0.4027  107    0 255 175
 0.4169  108    0 255 167
 0.4315  109    0 255 159
 0.4467  110    0 255 151
 0.4624  111    0 255 143
 0.4786  112    0 255 135
 0.4955  113    0 255 127
 0.5129  114    0 255 119
 0.5309  115    0 255 111
 0.5495  116    0 255 103
 0.5689  117    0 255  95
 0.5888  118    0 255  87
 0.6095  119    0 255  79
 0.6310  120    0 255  71
 0.6531  121    0 255  63
 0.6761  122    0 255  55
 0.6998  123    0 255  47
 0.7244  124    0 255  39
 0.7499  125    0 255  31
 0.7762  126    0 255  23
 0.8035  127    0 255  15
 0.8318  128    0 255   0
 0.8610  129    8 255   0
 0.8913  130   16 255   0
 0.9226  131   24 255   0
 0.9550  132   32 255   0
 0.9886  133   40 255   0
 1.0233  134   48 255   0
 1.0593  135   56 255   0
 1.0965  136   64 255   0
 1.1350  137   72 255   0
 1.1749  138   80 255   0
 1.2162  139   88 255   0
 1.2589  140   96 255   0
 1.3032  141  104 255   0
 1.3490  142  112 255   0
 1.3964  143  120 255   0
 1.4454  144  128 255   0
 1.4962  145  136 255   0
 1.5488  146  144 255   0
 1.6032  147  152 255   0
 1.6596  148  160 255   0
 1.7179  149  168 255   0
 1.7783  150  176 255   0
 1.8408  151  184 255   0
 1.9055  152  192 255   0
 1.9724  153  200 255   0
 2.0417  154  208 255   0
 2.1135  155  216 255   0
 2.1878  156  224 255   0
 2.2646  157  232 255   0
 2.3442  158  240 255   0
 2.4266  159  248 255   0
 2.5119  160  255 255   0
 2.6002  161  255 251   0
 2.6915  162  255 247   0
 2.7861  163  255 243   0
 2.8840  164  255 239   0
 2.9854  165  255 235   0
 3.0903  166  255 231   0
 3.1989  167  255 227   0
 3.3113  168  255 223   0
 3.4277  169  255 219   0
 3.5481  170  255 215   0
 3.6728  171  255 211   0
 3.8019  172  255 207   0
 3.9355  173  255 203   0
 4.0738  174  255 199   0
 4.2170  175  255 195   0
 4.3652  176  255 191   0
